#systematic_name	gene_name	transcript_clusters
NA	TP53	TC17001094.hg.1,TC17002468.hg.1
NA	MLH1	TC03000175.hg.1
NA	MSH2	TC02003219.hg.1,TC02000295.hg.1
NA	KRAS	TC12001314.hg.1
NA	EGFR	TC07002321.hg.1,TC07000328.hg.1
NA	CTNNB1	TC03000214.hg.1
NA	CDH1	TC16000559.hg.1
NA	MSH6	TC02000299.hg.1,TC02000297.hg.1
NA	PIK3CA	TC03000951.hg.1,TC03002674.hg.1
NA	BRCA1	TC17001553.hg.1,TC17002645.hg.1
NA	ERBB2	TC17000480.hg.1
NA	BRAF	TC07001927.hg.1,TC07003197.hg.1,TC07001926.hg.1
NA	APC	TC05003398.hg.1
NA	PTEN	TC10000623.hg.1,TC10000625.hg.1
NA	BRCA2	TC13000111.hg.1
NA	CCND1	TC11000718.hg.1
NA	TGFBR2	TC03000149.hg.1,TC03002268.hg.1
NA	MCC	TC05001679.hg.1
NA	AKT1	TC14001560.hg.1
NA	CDKN2A	TC09000964.hg.1
NA	MYC	TC08000749.hg.1
NA	BCL2	TC18000554.hg.1
NA	DCC	TC18000184.hg.1
NA	PTGS2	TC01003638.hg.1
NA	MDM2	TC12000606.hg.1,TC12002437.hg.1
NA	EGF	TC04000568.hg.1
NA	BAX	TC19002194.hg.1,TC19000716.hg.1
NA	TYMS	TC18000006.hg.1
NA	PMS2	TC07001124.hg.1,TC07002777.hg.1
NA	VEGFA	TC06000608.hg.1,TC06002799.hg.1
NA	SMAD4	TC18000998.hg.1
NA	CHEK2	TC22000626.hg.1
NA	STK11	TC19001930.hg.1,TC19002617.hg.1
NA	GSTM1	TC01006400.hg.1
NA	ESR1	TC06003133.hg.1,TC06001104.hg.1,TC06003132.hg.1
NA	MLH3	TC14001315.hg.1
NA	MAPK1	TC22000547.hg.1
NA	MUTYH	TC01002607.hg.1
NA	IL6	TC07000137.hg.1
NA	HRAS	TC11001236.hg.1
NA	MET	TC07000722.hg.1
NA	EPCAM	TC02000293.hg.1
NA	CDKN1B	TC12000178.hg.1,TC12002253.hg.1
NA	MMP2	TC16001569.hg.1,TC16000454.hg.1
NA	TERT	TC05001105.hg.1
NA	RB1	TC13000190.hg.1
NA	SRC	TC20000273.hg.1,TC20001205.hg.1
NA	MMP9	TC20000363.hg.1
NA	ATM	TC11002857.hg.1,TC11000980.hg.1
NA	TGFB1	TC19002485.hg.1,TC19001553.hg.1
NA	CASP8	TC02001177.hg.1,TC02003767.hg.1
NA	CDKN1A	TC06000532.hg.1
NA	FGFR3	TC04000029.hg.1,TC04001856.hg.1
NA	PPARG	TC03000069.hg.1,TC03002222.hg.1
NA	CDK4	TC12001633.hg.1
NA	STAT3	TC17001531.hg.1,TC17002638.hg.1
NA	NRAS	TC01003014.hg.1
NA	DLC1	TC08001001.hg.1,TC08001000.hg.1
NA	AXIN2	TC17002855.hg.1
NA	CASP3	TC04001807.hg.1
NA	ABCB1	TC07001579.hg.1,TC07003049.hg.1,TC07003053.hg.1
NA	RET	TC10002029.hg.1,TC10000268.hg.1
NA	MGMT	TC10000927.hg.1
NA	MSH3	TC05000400.hg.1
NA	EP300	TC22000332.hg.1
NA	GSTP1	TC11000694.hg.1
NA	GALNT12	TC09000498.hg.1
NA	MMP1	TC11002234.hg.1,TC11003311.hg.1,TC11003312.hg.1
NA	PMS1	TC02001114.hg.1
NA	AR	TC0X000358.hg.1
NA	BIRC5	TC17001915.hg.1,TC17000899.hg.1
NA	DPYD	TC01002903.hg.1
NA	MTHFR	TC01002202.hg.1,TC01005267.hg.1
NA	JUN	TC01002708.hg.1
NA	CXCR4	TC02002378.hg.1
NA	HIF1A	TC14002197.hg.1
NA	NME1	TC17002880.hg.1
NA	NFKB1	TC04000526.hg.1
NA	HGF	TC07001562.hg.1
NA	OGG1	TC03002210.hg.1,TC03000042.hg.1
NA	POLE	TC12002153.hg.1
NA	IGFBP3	TC07001355.hg.1
NA	TNF	TC06002432.hg.1,TC6_ssto_hap7000054.hg.1,TC06002442.hg.1,TC06002435.hg.1,TC6_mcf_hap5000053.hg.1,TC06002714.hg.1,TC6_mann_hap4000059.hg.1,TC06002438.hg.1,TC6_cox_hap2000067.hg.1,TC06002445.hg.1,TC6_dbb_hap3000058.hg.1,TC6_apd_hap1000036.hg.1,TC6_qbl_hap6000058.hg.1,TC06002449.hg.1,TC06002460.hg.1,TC06000371.hg.1
NA	XRCC1	TC19001589.hg.1
NA	AURKA	TC20001661.hg.1,TC20000968.hg.1
NA	BUB1B	TC15000276.hg.1
NA	MUC1	TC01006383.hg.1,TC01005848.hg.1
NA	FASLG	TC01001506.hg.1
NA	GSTT1	TC22001260.hg.1,TC22000583.hg.1
NA	SMAD2	TC18000496.hg.1
NA	SMAD7	TC18000500.hg.1
NA	GNAS	TC20001320.hg.1,TC20000466.hg.1
NA	IGF1	TC12001890.hg.1
NA	POLD1	TC19000757.hg.1
NA	BUB1	TC02002204.hg.1
NA	IFNG	TC12002948.hg.1,TC12001696.hg.1
NA	CD82	TC11000374.hg.1
NA	KIT	TC04000313.hg.1
NA	TNFRSF10B	TC08002257.hg.1,TC08001048.hg.1,TC08002256.hg.1,TC08001049.hg.1
NA	TYMP	TC22001500.hg.1
NA	CD44	TC11000333.hg.1,TC11000332.hg.1
NA	BCL2L1	TC20000756.hg.1,TC20001531.hg.1
NA	ABCG2	TC04002625.hg.1,TC04001370.hg.1
NA	KDR	TC04001208.hg.1
NA	NBN	TC08001400.hg.1
NA	EPHB2	TC01000291.hg.1,TC01000288.hg.1
NA	TP73	TC01000071.hg.1
NA	XRCC3	TC14001542.hg.1
NA	IGF1R	TC15000949.hg.1,TC15000951.hg.1
NA	MMP7	TC11002228.hg.1
NA	ESR2	TC14001211.hg.1
NA	S100A4	TC01003266.hg.1
NA	CYP1A1	TC15001647.hg.1
NA	MAPK3	TC16001021.hg.1
NA	FLCN	TC17002891.hg.1
NA	NFKBIA	TC14001036.hg.1
NA	TLR4	TC09000601.hg.1
NA	PLAU	TC10000475.hg.1
NA	PDGFRL	TC08000128.hg.1
NA	SMAD3	TC15000622.hg.1,TC15002251.hg.1
NA	TGFBR1	TC09000500.hg.1
NA	MAPK8	TC10000322.hg.1
NA	TCF7L2	TC10002300.hg.1,TC10000820.hg.1
NA	COLCA2	TC11000990.hg.1
NA	NF1	TC17000362.hg.1
NA	ODC1	TC02001570.hg.1
NA	ERCC1	TC19002520.hg.1,TC19001620.hg.1
